="inputs"
="",="",=""
="",="mean",="n"
="Entreprise de transformation de produits agricoles ou animaux sur 12 mois passes",="0.01",="628"
="Entreprise de confection/ Reparation des tissus ou vetements ",="0.00",="628"
="Entreprise de construction de maisons, menuiserie, forge, confection de briques ",="0.01",="628"
="Entreprise de Commerce du menage ",="0.03",="628"
="Entreprise de professions liberales pour son propre compte  ",="0.00",="628"
="Entreprise dans le domaine du transport ",="0.00",="628"
="Entreprise dans le domaine des Hotels, Bars, restaurants ",="0.00",="628"
="Entreprise dans un autre domaine non agricole ",="0.01",="628"
