="inputs"
="",="",=""
="",="mean",="n"
="Achat de semences améliorée pour utilisation sur champs pendant saison agricole ",="0.29",="521"
="Achat d'engrais chimiques pour utilisation sur les champs pendant saison agricol",="0.53",="521"
="Achat d'engrais organiques pour utilisation sur les champs pendant la saison agr",="0.15",="521"
="Achat de produits phytosanitaires pour utilisation sur les champs -  de la saiso",="0.55",="521"
="Achat ou location de main d'oeuvre agricole pour travail sur les champs -  de la",="0.36",="521"
="",="(1)",="",=""
="",="",="",=""
="",="mean",="sd",="count"
="KARI",=".5833333",=".5",="36"
="TOROBA",=".6666667",=".4850713",="18"
="NOSEBOU",="0",="0",="8"
="OUALOU",=".2222222",=".4236593",="27"
="SOROBOULI",=".2222222",=".4277926",="18"
="TISSE",=".3030303",=".4666937",="33"
="NAZINON",=".0967742",=".3005372",="31"
="TIOGO",=".0810811",=".2748228",="74"
="BONTIOLI",=".4592593",=".5001934",="135"
="TAPOABOOPO",=".177305",=".3832882",="141"
="Total",=".2859885",=".4523182",="521"
="Observations",="521",="",=""
="",="(1)",="",=""
="",="",="",=""
="",="mean",="sd",="count"
="KARI",=".9166667",=".280306",="36"
="TOROBA",=".8888889",=".3233808",="18"
="NOSEBOU",=".625",=".5175492",="8"
="OUALOU",=".3703704",=".4921029",="27"
="SOROBOULI",=".7222222",=".4608886",="18"
="TISSE",=".6363636",=".4885042",="33"
="NAZINON",=".516129",=".5080005",="31"
="TIOGO",=".2567568",=".439826",="74"
="BONTIOLI",=".8444444",=".3637833",="135"
="TAPOABOOPO",=".1914894",=".394876",="141"
="Total",=".5259117",=".499808",="521"
="Observations",="521",="",=""
="",="(1)",="",=""
="",="",="",=""
="",="mean",="sd",="count"
="KARI",=".0833333",=".280306",="36"
="TOROBA",=".1111111",=".3233808",="18"
="NOSEBOU",=".125",=".3535534",="8"
="OUALOU",=".1111111",=".3202563",="27"
="SOROBOULI",="0",="0",="18"
="TISSE",="0",="0",="33"
="NAZINON",=".2903226",=".4614144",="31"
="TIOGO",=".6486486",=".4806512",="74"
="BONTIOLI",=".0592593",=".2369887",="135"
="TAPOABOOPO",=".035461",=".1856012",="141"
="Total",=".1516315",=".359008",="521"
="Observations",="521",="",=""
="",="(1)",="",=""
="",="",="",=""
="",="mean",="sd",="count"
="KARI",=".8611111",=".3507362",="36"
="TOROBA",="1",="0",="18"
="NOSEBOU",=".375",=".5175492",="8"
="OUALOU",=".8148148",=".3958474",="27"
="SOROBOULI",=".6666667",=".4850713",="18"
="TISSE",=".6060606",=".4961977",="33"
="NAZINON",=".1612903",=".3738783",="31"
="TIOGO",=".2702703",=".4471308",="74"
="BONTIOLI",=".437037",=".4978672",="135"
="TAPOABOOPO",=".7021277",=".4589535",="141"
="Total",=".5547025",=".4974763",="521"
="Observations",="521",="",=""
="",="(1)",="",=""
="",="",="",=""
="",="mean",="sd",="count"
="KARI",=".1111111",=".3187276",="36"
="TOROBA",="0",="0",="18"
="NOSEBOU",=".5",=".5345225",="8"
="OUALOU",=".4074074",=".5007117",="27"
="SOROBOULI",=".4444444",=".51131",="18"
="TISSE",=".0606061",=".2423058",="33"
="NAZINON",=".6451613",=".4863735",="31"
="TIOGO",=".8108108",=".3943323",="74"
="BONTIOLI",=".362963",=".4826452",="135"
="TAPOABOOPO",=".212766",=".4107225",="141"
="Total",=".3608445",=".4807071",="521"
="Observations",="521",="",=""
="",="(1)",=""
="",="Source principale de financement des investissements agricoles ",=""
="",="b",="pct"
="Epargne du ménage",="420",="80.6142"
="Cadeau d’un parent",="5",=".9596929"
="Prêt d’un autre ménage",="11",="2.111324"
="Prêt d’une tontine",="1",=".1919386"
="Prêt bancaire ou IMF",="2",=".3838772"
="Prêt/Appui d’une coopérative",="37",="7.101727"
="Prêt/Appui d’une ONG",="2",=".3838772"
="Autres",="43",="8.253359"
="Total",="521",="100"
="Observations",="521",=""
="",="(1)",="",=""
="",="",="",=""
="",="mean",="sd",="count"
="KARI",="34284.87",="74820.5",="36"
="TOROBA",="27165.68",="71883.63",="18"
="NOSEBOU",="2429864",="3917509",="8"
="OUALOU",="80489.37",="97055.26",="27"
="SOROBOULI",="3401465",="4945551",="17"
="TISSE",="98810.07",="173234.8",="33"
="NAZINON",="96784.76",="115045.6",="31"
="TIOGO",="80103.96",="69216.91",="74"
="BONTIOLI",="76637.15",="236429.5",="135"
="TAPOABOOPO",="188129.7",="204580.9",="141"
="Total",="250425.6",="1188224",="520"
="Observations",="520",="",=""
="",="(1)",="",=""
="",="",="",=""
="",="mean",="sd",="count"
="KARI",=".2564103",=".442359",="39"
="TOROBA",=".1666667",=".3834825",="18"
="NOSEBOU",="0",="0",="20"
="OUALOU",=".0540541",=".2292434",="37"
="SOROBOULI",="0",="0",="40"
="TISSE",=".075",=".2667468",="40"
="NAZINON",=".0222222",=".1490712",="45"
="TIOGO",="0",="0",="80"
="BONTIOLI",=".0822785",=".2756623",="158"
="TAPOABOOPO",=".0392157",=".1947452",="153"
="Total",=".0603175",=".2382632",="630"
="Observations",="630",="",=""
